Id,Age,Gender,Expenditures,Ethnicity
1,17,Female,2113,White not Hispanic
2,37,Male,41924,White not Hispanic
3,3,Male,1454,Hispanic
4,-19,Female,6400,Hispanic
5,13,Male,4412,White not Hispanic
6,15,Female,4566,Hispanic
7,13,Female,3915,White not Hispanic
8,-1,Male,3873,Black
9,14,Female,5021,White not Hispanic
10,13,Male,2887,Hispanic
11,13,Female,4154,White not Hispanic
12,14,Male,3048,Hispanic
13,15,Female,2757,White not Hispanic
14,17,Male,5340,Multi Race
15,20,Male,10047,Hispanic
16,25,Female,34795,Black
17,23,Female,43025,White not Hispanic
18,41,Male,54115,Asian
19,5,Female,1748,Hispanic
20,15,Female,4515,Hispanic
21,5,Male,1861,Hispanic
22,5,Male,1598,Hispanic
23,22,Female,46571,Hispanic
24,3,Male,1066,Hispanic
25,16,Female,3867,Black
26,71,Female,57928,White not Hispanic
27,13,Female,4002,White not Hispanic
28,18,Female,10434,Asian
29,63,Female,56134,White not Hispanic
30,1,Male,1070,White not Hispanic
31,13,Male,3775,Multi Race
32,27,Female,35284,White not Hispanic
33,21,Male,7219,White not Hispanic
34,14,Male,4681,White not Hispanic
35,15,Female,4629,Asian
36,3,Female,2750,White not Hispanic
37,15,Female,3392,Asian
38,14,Male,5696,Black
39,30,Female,46660,White not Hispanic
40,6,Female,2354,Hispanic
41,33,Male,40781,White not Hispanic
42,10,Female,2559,Black
43,25,Female,36428,White not Hispanic
44,3,Male,674,Hispanic
45,26,Male,39844,Asian
46,17,Male,4046,White not Hispanic
47,33,Male,36184,White not Hispanic
48,16,Male,4968,Hispanic
49,24,Male,36901,White not Hispanic
50,63,Female,50419,White not Hispanic
51,1,,340,White not Hispanic
52,24,Female,42192,Black
53,75,Female,49239,White not Hispanic
54,27,Male,36057,White not Hispanic
55,8,Female,2895,Hispanic
56,24,Male,31512,White not Hispanic
57,10,Female,1915,Hispanic
58,16,Male,4091,Hispanic
59,13,Male,4798,Hispanic
60,51,Female,54267,White not Hispanic
61,6,Female,1783,Asian
62,16,Female,3212,Hispanic
63,15,Female,2029,White not Hispanic
64,22,Male,37727,White not Hispanic
65,20,Male,11998,Hispanic
66,45,Male,50304,Hispanic
67,5,Female,1130,Hispanic
68,24,Female,45412,White not Hispanic
69,32,Male,38310,Hispanic
70,13,Female,3638,Hispanic
71,74,Female,54616,Asian
72,26,Female,30504,Asian
73,19,Male,7621,Hispanic
74,18,Male,13677,White not Hispanic
75,6,Female,1423,Hispanic
76,17,Female,4395,Hispanic
77,29,Male,38236,White not Hispanic
78,17,Male,6798,White not Hispanic
79,13,Female,4052,White not Hispanic
80,48,Female,49424,White not Hispanic
81,34,Female,39521,Hispanic
82,9,Female,2471,Asian
83,18,Male,15018,Hispanic
84,16,Male,2924,White not Hispanic
85,0,Male,1149,Multi Race
86,15,Female,4525,Hispanic
87,16,Male,3796,Hispanic
88,18,Female,8730,Black
89,28,Male,37247,Black
90,28,Female,31027,White not Hispanic
91,22,Male,27364,White not Hispanic
92,27,Female,30998,White not Hispanic
93,66,Female,49851,Asian
94,3,Male,1057,White not Hispanic
95,22,Male,42623,White not Hispanic
96,1,Male,1363,Hispanic
97,13,Female,5324,Black
98,22,Male,46513,Black
99,15,Female,2521,White not Hispanic
100,94,Female,60871,Hispanic
101,41,Female,42139,White not Hispanic
102,5,Male,1713,Hispanic
103,6,Female,1814,Asian
104,60,Female,57702,White not Hispanic
105,23,Female,36607,White not Hispanic
106,36,Male,29144,White not Hispanic
107,21,Female,7193,White not Hispanic
